Yr Built or Remod,Overall Qual Sq,Garage Total,SQRT 1st SQ,Overall Qual Living Area
3961880,36,950.0,26.92582403567252,8874
3986012,49,1118.0,30.215889859476256,14854
3919671,25,246.0,32.51153641401772,5285
4026042,25,800.0,27.27636339397171,7220
3786700,36,968.0,28.827070610799147,8670
3935932,36,1156.0,43.45112196480086,11328
4022030,36,1050.0,32.7414110874898,6432
3837681,25,1062.0,34.46737587922817,5940
3810304,25,420.0,30.397368307141328,4620
3876961,25,1008.0,32.2490309931942,10400
3884841,36,264.0,21.97726097583591,5922
4020025,49,1264.0,34.75629439396553,8456
3773160,25,1152.0,35.888716889852724,10080
3998000,64,960.0,31.016124838541646,12856
4028049,49,1220.0,36.89173349139343,9527
4018020,25,1248.0,37.815340802378074,7150
3736200,25,1539.0,24.979991993593593,6720
3853369,25,960.0,33.481338085566414,5605
3908529,36,1056.0,35.84689665786984,7710
4036081,49,1228.0,27.640549922170507,10829
3873024,25,900.0,29.899832775452108,4470
4000000,64,998.0,40.7308237088326,13272
4022030,64,1150.0,34.77067730142742,18024
3997944,36,840.0,34.45286635390443,7122
3822025,25,1144.0,32.49615361854384,5280
3845521,36,1060.0,38.118237105091836,8718
3947685,25,336.0,29.899832775452108,4470
3864315,25,240.0,35.566838487557476,9690
3801370,25,0.0,32.155870381627054,9955
3909694,25,1152.0,25.92296279363144,4620
3924361,64,1084.0,50.23942674832188,20192
3761550,64,800.0,28.142494558940577,12136
3982020,64,962.0,38.65229618017538,11952
3810304,36,820.0,30.789608636681304,5688
4030056,64,2478.0,41.44876355212541,13744
3833764,36,384.0,33.793490497431605,6852
3908529,25,336.0,30.4138126514911,7375
3908529,36,1092.0,42.941821107167776,11064
3892729,49,1056.0,35.24202037341219,8694
3976036,25,384.0,31.464265445104548,4950
3861225,25,276.0,35.4400902933387,6280
4024036,100,2550.0,45.56314299957807,20760
3912484,25,1204.0,33.31666249791537,5550
3818116,25,352.0,32.4037034920393,8975
3861225,25,384.0,32.2490309931942,5200
3773250,64,1572.0,31.352830813181765,14984
3804360,25,1320.0,31.368774282716245,8020
3862000,49,270.0,29.171904291629644,10514
3818116,25,280.0,32.60368077380221,5315
4014012,49,948.0,27.640549922170507,11382
4000000,36,880.0,27.712812921102035,9144
3759600,16,1152.0,36.4417343165772,7924
3912484,49,1128.0,37.30951621235526,19488
3880900,16,0.0,23.366642891095847,4368
3806401,36,800.0,39.68626966596886,9450
3876961,36,299.0,25.748786379167466,8112
4018020,49,960.0,24.49489742783178,8400
3859150,25,240.0,30.59411708155671,4680
3814209,36,293.0,32.2490309931942,6240
3984016,36,772.0,30.265491900843113,9816
4011993,64,2013.0,34.11744421846396,18160
4028049,64,1100.0,34.40930106817051,20880
3955977,49,1380.0,38.50973902793941,10381
3744000,25,225.0,30.983866769659336,8700
3822025,25,350.0,37.17526059088221,6910
4028049,25,0.0,33.46640106136302,5600
3850350,49,216.0,23.811761799581316,7686
4016016,49,760.0,31.240998703626616,11956
4024036,81,2529.0,42.44997055358225,16218
4020025,49,880.0,38.80721582386451,10542
4038090,49,1144.0,38.8329756778952,10556
3986012,49,2358.0,45.077710678338576,14224
3837681,36,1078.0,34.55430508634199,7164
4016016,49,760.0,31.144823004794873,11963
4020025,49,2502.0,40.19950248448356,11312
3763500,36,880.0,27.712812921102035,4608
3751800,25,322.0,29.5296461204668,4360
3757650,16,240.0,22.80350850198276,2080
3841600,25,960.0,33.24154027718932,11370
3855775,25,0.0,30.59411708155671,8005
3724500,25,960.0,24.819347291981714,6160
4034072,81,3498.0,47.265209192385896,20106
3734250,25,2160.0,29.597297173897484,7080
3953826,16,1152.0,29.393876913398138,3456
3988009,36,784.0,34.48187929913333,7134
4024036,81,1150.0,40.8166632639171,14994
4012009,49,1110.0,34.64101615137755,8400
3912000,25,252.0,30.463092423455635,4640
3876961,25,1004.0,36.55133376499413,6680
4016016,49,960.0,24.49489742783178,8400
3876961,36,1032.0,37.77565353504821,8562
3995992,49,1216.0,34.813790371058424,13944
3976036,49,990.0,27.459060435491963,10780
3916441,25,800.0,39.179076048319466,7675
3857296,25,968.0,33.94112549695428,5760
4026042,64,968.0,33.926390907374746,9208
3841600,36,960.0,33.734255586866,6828
3825936,25,792.0,32.77193921634788,5370
4020025,81,1112.0,39.50949253027682,14049
3980025,64,2175.0,36.851051545376556,21808
4016016,81,2010.0,43.40506882842141,16956
3843840,16,0.0,24.596747752497688,2420
3965832,64,1100.0,40.87786687193939,13368
3705000,9,0.0,28.231188426986208,2391
4006002,36,1120.0,28.35489375751565,11766
3888784,25,1002.0,34.539832078341085,5965
4000000,49,980.0,25.942243542145693,9674
3736200,36,216.0,40.792156108742276,15156
3829849,36,1100.0,37.282703764614496,8340
4012009,49,948.0,27.640549922170507,11382
3781050,25,800.0,29.46183972531247,7790
3876880,25,286.0,37.70941526992961,7110
3844560,25,720.0,33.58571124749333,7865
3849444,36,880.0,33.406586176980134,6696
3796650,4,0.0,25.69046515733026,1320
3952044,36,958.0,41.31585652022719,10242
3837681,25,1056.0,38.28837943815329,7330
4000000,81,990.0,40.47221268969612,14742
3841600,25,1252.0,41.48493702538308,8605
3988009,36,940.0,30.463092423455635,10584
3819860,25,0.0,31.559467676119,4980
3825936,25,304.0,34.66987164671943,6010
3845521,25,1144.0,31.432467291003423,4940
3757650,25,720.0,32.0624390837628,5140
3796650,25,240.0,26.832815729997478,6420
3908529,81,2592.0,39.98749804626441,26496
4016016,64,806.0,26.589471600616662,11312
3844680,49,1737.0,30.967725134404045,11263
3990006,36,800.0,28.513154858766505,9150
3869089,25,288.0,33.04542328371661,8280
3908529,49,880.0,32.48076353782343,7385
3889634,25,1440.0,26.0,6760
3908529,36,880.0,29.24038303442689,8736
3972049,64,946.0,41.46082488325576,13752
3753750,25,0.0,29.393876913398138,4320
3892729,36,264.0,21.97726097583591,5922
3742500,25,0.0,27.92848008753788,5100
4024036,64,1254.0,39.42080668885405,12432
4024036,100,2274.0,39.08964057138413,33900
3841208,36,0.0,27.92848008753788,9360
3806401,16,800.0,29.393876913398138,3456
4000000,36,862.0,31.74901573277509,11334
3943620,25,260.0,32.2490309931942,5200
3904092,25,366.0,34.23448553724738,5860
4040100,64,2556.0,37.656340767525464,11344
3765450,36,560.0,30.967725134404045,8202
4012009,49,1344.0,22.24859546128699,13454
3924361,36,1152.0,37.70941526992961,8532
4000000,49,972.0,31.38470965295043,12894
3734250,16,1144.0,29.79932885150268,7848
3939864,25,1312.0,33.46640106136302,5600
4022030,81,2148.0,44.63182720884279,25812
3829849,36,884.0,38.44476557348217,8868
3982020,49,1220.0,30.822070014844883,13965
3886630,25,297.0,30.199337741083,4560
4020025,36,776.0,36.41428291206625,7956
3948169,64,922.0,34.698703145794944,9632
3857296,36,884.0,28.24889378365107,9666
3880900,16,1152.0,30.983866769659336,3840
3906172,25,447.0,35.156791662493895,6180
3849426,25,1152.0,37.62977544445356,7080
3952144,49,1238.0,30.757112998459398,13111
3747900,25,0.0,32.984845004941285,10640
4014012,49,948.0,27.640549922170507,11382
3829849,25,308.0,28.5657137141714,4080
3904576,25,336.0,23.15167380558045,5560
3755700,49,288.0,23.916521486202797,7777
3912484,36,880.0,29.24038303442689,8646
3784950,16,280.0,25.92296279363144,3696
3936256,25,1012.0,33.555923471125034,5630
3818116,25,319.0,31.496031496047245,4960
3744000,36,1152.0,27.422618401604176,8256
4038090,49,1352.0,34.899856733230294,8526
3874290,25,312.0,29.79932885150268,8220
3912484,49,956.0,40.01249804748511,11207
3778110,49,684.0,36.235341863986875,17465
4010006,36,786.0,28.407745422683583,9054
3849444,25,288.0,33.04542328371661,5460
3974042,49,2949.0,36.40054944640259,16926
3884841,36,264.0,21.97726097583591,5922
4014012,16,880.0,33.481338085566414,4484
3906172,36,1846.0,35.156791662493895,7416
3900625,25,990.0,32.77193921634788,5370
3810304,1,974.0,27.073972741361768,733
4012009,49,1086.0,29.732137494637012,12376
4020025,49,906.0,35.58089374931439,8862
3984000,64,1082.0,46.14108798023731,22976
4028049,64,2262.0,38.262252939417984,11712
3865156,49,974.0,34.87119154832539,15099
4024036,64,1998.0,35.552777669262355,20608
4022030,81,2010.0,37.603191353926334,25182
3904576,64,1058.0,41.7492514902962,13944
3908529,36,1428.0,39.585350825778974,9402
3904576,49,958.0,37.013511046643494,9590
3876961,25,3872.0,36.578682316343766,13170
4022030,64,2262.0,39.87480407475377,12720
4034072,49,2364.0,38.07886552931954,10150
3734250,36,1056.0,29.086079144497972,8028
4028049,49,800.0,26.981475126464083,10192
4012009,100,2904.0,48.908077042549934,23920
3880900,16,297.0,23.021728866442675,3968
4032064,100,2436.0,32.03123475609393,20070
3992004,49,1800.0,33.28663395418648,16695
3784950,49,240.0,30.298514815086232,11522
4028049,49,800.0,26.981475126464083,10192
3833280,25,1248.0,23.40939982143925,5200
3740100,36,2592.0,37.013511046643494,15744
3884805,25,1056.0,35.552777669262355,6320
4014012,49,840.0,39.45883931389772,10899
3908529,36,1082.0,35.874782229304195,7722
3880900,36,960.0,31.68595903550972,6024
4028049,49,966.0,34.08812109811862,8134
4034072,49,1058.0,37.89459064299283,10052
3931889,25,300.0,30.983866769659336,4800
3873024,25,336.0,34.583232931581165,5980
4018020,64,860.0,35.62302626111375,10152
3913760,25,230.0,32.109188716004645,5155
3796200,16,280.0,21.166010488516726,2880
3814209,36,1010.0,38.79432948254165,9030
3779100,25,240.0,30.886890422961002,4770
4022030,36,1128.0,27.386127875258307,9000
3845521,25,368.0,32.4037034920393,5250
3976036,64,1236.0,45.59605246071199,21496
3871000,36,1128.0,35.38361202590826,7512
3998000,49,800.0,27.820855486487112,10010
4014012,25,1152.0,33.37663853655727,5570
3996001,36,804.0,34.9857113690718,7344
4024035,81,1968.0,33.67491648096547,22536
3784950,25,1056.0,27.568097504180443,6775
3853369,36,1316.0,38.691084244306204,13764
4032064,81,3156.0,41.255302689472536,15318
3954132,36,1200.0,38.84584919911006,9054
3772550,49,1926.0,31.0,12019
3940225,49,1056.0,35.21363372331802,8680
4020025,49,800.0,34.14674215792775,8162
3823820,25,0.0,27.640549922170507,7320
3900369,36,1020.0,40.64480286580315,9912
3873024,36,509.0,34.38022687534217,12852
3857296,36,1008.0,33.04542328371661,6552
3761550,49,902.0,33.49626844888845,11697
3907904,25,1138.0,38.57460304397182,7440
3810304,25,240.0,40.29888335921977,8120
4022030,36,920.0,36.90528417449187,8172
4030056,49,924.0,34.899856733230294,8526
3749850,36,288.0,32.68026927673638,6408
3916441,36,1152.0,40.311288741492746,9750
3948169,49,1008.0,32.61901286060018,12369
3908000,36,286.0,32.4037034920393,6300
3829849,16,352.0,30.116440692751194,3628
3781050,4,256.0,25.298221281347036,1690
3980025,64,2253.0,35.369478367654786,20008
3865156,25,1008.0,34.77067730142742,6045
3777150,16,231.0,21.283796653792763,3624
4006002,64,1340.0,40.01249804748511,12808
4022030,49,1004.0,36.55133376499413,9352
3850900,16,880.0,33.090784215548595,6624
3818116,25,0.0,33.52610922848042,5620
4002000,49,862.0,31.74901573277509,13244
3743000,9,840.0,31.843366656181317,5097
3798600,36,312.0,27.92848008753788,8496
3814040,9,0.0,36.138621999185304,3918
3889700,16,308.0,25.92296279363144,2688
3873024,25,257.0,34.058772731852805,5800
3814209,16,286.0,30.495901363953813,3720
3783000,16,0.0,26.60826939130014,2832
3968064,36,1058.0,39.68626966596886,9450
3865156,25,286.0,32.54228019054596,5295
3857296,16,880.0,31.701734968294716,4020
4004001,49,1300.0,32.51153641401772,13503
4020025,49,960.0,22.80350850198276,8400
4012009,64,2385.0,42.473521163190604,21520
3936256,25,990.0,28.861739379323623,4165
4024036,36,858.0,26.981475126464083,8736
3903900,25,1440.0,29.393876913398138,4320
3954042,36,870.0,39.824615503479755,9516
3825936,25,300.0,37.013511046643494,6850
4008004,36,0.0,30.23243291566195,5484
4022030,49,860.0,39.433488306260706,10885
3920400,36,904.0,26.758176320519304,9336
3888784,25,922.0,29.698484809834994,4410
3744000,25,990.0,34.161381705077446,5835
4030056,81,2832.0,42.42640687119285,16200
3900625,36,880.0,29.24038303442689,8736
4008004,49,986.0,28.827070610799147,11620
3968064,49,784.0,28.495613697550013,10374
3936256,36,1104.0,39.01281840626232,9132
4032064,81,2340.0,45.12205669071391,18324
3964081,25,1344.0,39.93745109543172,7975
4020025,49,924.0,29.8496231131986,11802
3990006,49,3136.0,36.66060555964672,9408
3880900,25,2784.0,40.64480286580315,8260
3825936,16,263.0,28.844410203711913,5348
3920256,49,974.0,34.95711658589707,13440
4016016,36,840.0,29.120439557122072,5088
3900625,49,880.0,32.48076353782343,7385
3986012,36,862.0,35.93048844644336,7746
3861784,36,968.0,26.832815729997478,4320
3892729,16,297.0,22.93468988235943,3952
3907745,25,295.0,31.400636936215164,7615
4016016,49,1144.0,29.393876913398138,12096
3980025,64,954.0,35.199431813596085,9912
3833764,25,356.0,33.926390907374746,9775
3784950,49,234.0,29.32575659723036,10948
3818116,16,312.0,34.698703145794944,4816
3833764,36,312.0,36.45545226711637,7974
3900625,25,880.0,29.647934160747187,4395
3802500,16,294.0,29.0,3364
3796650,36,1298.0,30.0,7872
3738150,36,792.0,33.67491648096547,12348
3936256,64,1130.0,36.87817782917155,10880
4010006,64,2145.0,42.261093218230876,14288
3884841,36,990.0,33.12099032335839,11958
3744000,16,280.0,31.400636936215164,5448
4026042,49,876.0,33.34666400106613,10850
3849444,25,349.0,41.182520563948,8480
3880900,16,286.0,23.366642891095847,4368
4020025,81,1152.0,41.8568990729127,15768
4024036,81,2025.0,33.19638534539566,22257
4028049,81,1404.0,42.42640687119285,16200
3974042,49,2349.0,33.28663395418648,15379
3784950,25,1320.0,29.223278392404914,6910
4016016,49,866.0,29.103264421710495,12131
4032064,49,1250.0,37.44329045369811,9814
3936256,25,288.0,29.782545223670862,4435
3873024,25,1008.0,32.41913015489465,5255
3744000,36,216.0,27.477263328068172,9060
3892729,25,1012.0,40.69397989875161,8280
3904576,36,880.0,30.95157508108432,5748
3970056,64,1092.0,56.815490845367165,25824
3873024,25,1372.0,32.2490309931942,5200
3825730,25,1104.0,25.709920264364882,6250
3973952,36,954.0,33.76388603226827,11208
4022030,100,4600.0,40.39801975344831,27900
3820504,36,882.0,38.01315561749642,12804
3822420,25,0.0,30.789608636681304,9640
3996001,49,780.0,31.96873472629156,14420
3866130,36,162.0,29.34280150224242,8268
3872975,16,5424.0,40.27406113120453,6488
4028049,64,2640.0,30.903074280724887,15040
3944196,64,922.0,32.984845004941285,8704
3837681,25,286.0,32.2490309931942,5200
3838308,36,180.0,30.0,9012
3884841,36,264.0,21.97726097583591,5922
3833764,36,264.0,33.090784215548595,6570
4016016,49,760.0,31.144823004794873,11963
3970056,36,924.0,29.0516780926679,10386
3931965,16,364.0,30.983866769659336,3840
3900625,36,868.0,28.478061731796284,9312
4026042,64,2685.0,42.36744032862972,14360
3964081,25,1152.0,24.979991993593593,6370
3783000,36,1152.0,29.120439557122072,7176
3893946,16,220.0,26.5329983228432,2816
3822025,25,305.0,31.176914536239792,4860
3798600,36,330.0,30.199337741083,8748
3853369,36,860.0,31.74901573277509,6048
4028049,81,2322.0,42.7551166528639,16452
3795530,9,0.0,31.827660925679098,4578
3874000,36,1248.0,28.035691537752374,7056
3908045,25,288.0,32.51153641401772,5285
3980025,64,2517.0,45.967379738244816,16904
3884825,25,300.0,37.242448899072144,6935
4022030,81,2442.0,41.49698784249286,24822
3744000,9,250.0,28.982753492378876,2520
3864000,25,281.0,29.120439557122072,7600
4028049,64,2556.0,39.26830783214372,12336
3810304,25,1440.0,30.166206257996713,6925
3849444,25,288.0,30.59411708155671,4680
3784950,25,240.0,28.705400188814647,6440
3853369,25,1050.0,33.58571124749333,5640
4038090,64,2040.0,27.820855486487112,15744
3857296,36,882.0,35.298725189445584,7476
3848960,49,240.0,30.983866769659336,12180
3853369,25,968.0,30.4138126514911,4625
4000000,49,800.0,27.820855486487112,10010
3805700,64,288.0,30.495901363953813,12528
3814209,25,800.0,30.822070014844883,4750
3837681,25,796.0,33.823069050575526,5720
3845521,25,902.0,33.37663853655727,5570
3892729,49,1032.0,47.148700936505136,15561
3832320,25,288.0,24.1039415863879,5555
3833764,25,1248.0,30.983866769659336,4800
3992004,36,920.0,30.528675044947494,9798
3728400,36,0.0,30.479501308256342,13374
3818116,36,280.0,31.368774282716245,5904
3920400,36,1224.0,41.060930335295616,10116
4020025,49,1152.0,40.17461885320133,11298
3888784,25,297.0,29.393876913398138,4320
4024036,49,2622.0,41.71330722922842,12180
3922224,25,880.0,41.48493702538308,8605
3904576,36,2664.0,32.155870381627054,6204
3912484,36,1078.0,36.30426972134269,11412
3938240,36,960.0,33.12099032335839,6582
4022030,81,2010.0,33.421549934136806,19854
3904576,36,1344.0,33.421549934136806,6702
3675750,16,1120.0,35.298725189445584,9160
3888784,36,264.0,21.97726097583591,5688
3783000,36,231.0,24.49489742783178,5514
3873024,36,824.0,33.94112549695428,6912
4038090,81,2253.0,40.33608806019741,21006
3841600,25,922.0,35.552777669262355,6320
3916441,25,1056.0,34.9857113690718,6120
3753750,36,300.0,26.40075756488817,8214
3904576,25,308.0,29.899832775452108,4470
4000000,36,880.0,27.730849247724095,9438
4008004,64,2268.0,41.0731055558257,18000
4000000,36,788.0,28.61817604250837,9084
3884841,36,0.0,25.92296279363144,7308
3818116,25,256.0,28.478061731796284,6935
3744000,16,250.0,25.475478405713993,5268
3839484,36,0.0,27.80287754891569,8130
3697200,16,330.0,30.854497241083024,3808
3904576,36,504.0,33.36165463522455,6678
3792700,25,924.0,27.892651361962706,3890
3783000,36,240.0,30.72458299147443,8934
4030056,81,2304.0,41.20679555607303,15282
3835260,49,996.0,35.52463933666322,15869
3932289,25,968.0,30.033314835362415,4510
4024036,36,880.0,27.16615541441225,8970
3986012,25,808.0,37.20215047547655,6920
3745950,36,228.0,29.171904291629644,8616
3994002,36,880.0,30.854497241083024,9816
4016016,36,1152.0,34.02939905434711,6948
4026042,64,2610.0,40.570925550201586,13168
3777150,25,240.0,31.32091952673165,8840
3930000,36,299.0,39.56008088970496,9390
3770580,49,640.0,29.664793948382652,12376
3806401,25,0.0,32.55764119219941,6980
3912484,36,968.0,33.1058907144937,6576
3996001,49,1974.0,34.97141690009142,16184
3972049,64,924.0,36.565010597564445,10696
4016016,49,960.0,23.473389188611005,7714
4008004,64,1154.0,33.58571124749333,16248
3744000,4,246.0,20.92844953645635,876
3904576,25,1008.0,32.14031735997639,5165
4012009,49,1192.0,33.60059523282288,16289
3970056,49,840.0,34.45286635390443,8309
3792750,36,440.0,28.5657137141714,8040
3822025,16,0.0,33.94112549695428,4608
3947728,36,1084.0,39.585350825778974,9402
3816960,49,648.0,28.844410203711913,10374
4026042,49,866.0,41.09744517606904,11823
3918310,25,2484.0,37.73592452822641,7120
3932289,25,264.0,28.5657137141714,4080
3745950,49,312.0,37.73592452822641,9968
3951888,49,968.0,26.92582403567252,10353
3849444,25,0.0,32.01562118716424,5125
3880900,36,1230.0,37.97367509209505,8652
4000000,64,1008.0,38.13135192987524,15488
3992004,49,1665.0,32.71085446759225,13573
4020025,36,1080.0,27.16615541441225,8856
3873024,25,326.0,29.966648127543394,4490
4026042,64,960.0,38.2099463490856,11680
3912484,36,1008.0,32.155870381627054,6204
3912484,25,1056.0,34.26368339802363,5870
4012009,49,992.0,23.021728866442675,7560
3777150,36,198.0,27.92848008753788,8256
3783000,25,880.0,28.982753492378876,7835
3788105,25,0.0,27.40437921208944,7670
3982020,64,1216.0,40.19950248448356,12928
3779100,25,240.0,32.526911934581186,7755
3822025,25,330.0,30.983866769659336,4800
4028049,49,872.0,36.08323710533743,9114
3753750,25,210.0,28.5657137141714,4080
3992004,49,286.0,38.7556447501522,10514
4032064,36,308.0,33.66006535941367,6798
3992004,81,2418.0,40.87786687193939,27702
3976036,36,942.0,30.59411708155671,10326
3724500,16,1296.0,31.32091952673165,7040
3893890,36,180.0,37.89459064299283,13920
4014012,49,904.0,33.85262175962151,17402
3906246,25,305.0,35.298725189445584,6230
3927748,36,778.0,38.0,12864
3786900,25,215.0,28.26658805020514,5750
4028049,64,2670.0,40.0,12800
3865790,16,231.0,35.07135583350036,7020
4008004,64,2295.0,42.42640687119285,14400
4018020,49,960.0,24.49489742783178,8400
3884841,25,880.0,27.65863337187866,6825
4012009,36,1084.0,28.89636655359978,10176
4022030,49,1276.0,30.740852297878796,12663
4024036,64,1448.0,47.265209192385896,17872
3974042,36,948.0,29.765752132274432,10080
3945762,36,888.0,31.240998703626616,12522
3998000,64,1042.0,38.897300677553446,12104
3920231,25,308.0,33.27160951922825,5535
3923685,25,392.0,28.75760768909681,4135
3829914,36,0.0,27.23967694375247,8904
3857700,25,1008.0,27.640549922170507,3820
4014012,81,2622.0,42.33202097703345,16128
4006002,64,2238.0,38.92300091205713,21192
3970056,36,778.0,28.42534080710379,9558
3888784,16,1176.0,34.36568055487916,4724
3976036,64,1382.0,44.57577817604534,15896
3773250,36,180.0,25.436194683953808,7452
3943872,36,1008.0,31.240998703626616,5856
3706950,25,216.0,31.12876483254676,6070
3849444,25,336.0,29.393876913398138,4320
3775200,36,240.0,34.14674215792775,9834
4032064,81,2502.0,41.66533331199932,15624
3916441,25,800.0,39.179076048319466,7675
3932000,36,968.0,28.284271247461902,9792
3776220,9,320.0,26.92582403567252,2175
4016016,49,880.0,28.982753492378876,12040
3814209,16,1152.0,30.59411708155671,3744
4012009,64,1890.0,39.8622628559895,12712
3974042,36,760.0,28.26658805020514,9426
4012009,49,1116.0,38.45776904605882,10353
3876961,25,1796.0,28.0,8160
3861225,25,360.0,29.393876913398138,4320
4032064,81,2574.0,38.41874542459709,24417
3846222,49,312.0,27.258026340878022,10353
