Yr Built or Remod,Overall Qual Sq,Garage Total
3961880,36,950.0
3986012,49,1118.0
3919671,25,246.0
4026042,25,800.0
3786700,36,968.0
3935932,36,1156.0
4022030,36,1050.0
3837681,25,1062.0
3810304,25,420.0
3876961,25,1008.0
3884841,36,264.0
4020025,49,1264.0
3773160,25,1152.0
3998000,64,960.0
4028049,49,1220.0
4018020,25,1248.0
3736200,25,1539.0
3853369,25,960.0
3908529,36,1056.0
4036081,49,1228.0
3873024,25,900.0
4000000,64,998.0
4022030,64,1150.0
3997944,36,840.0
3822025,25,1144.0
3845521,36,1060.0
3947685,25,336.0
3864315,25,240.0
3801370,25,0.0
3909694,25,1152.0
3924361,64,1084.0
3761550,64,800.0
3982020,64,962.0
3810304,36,820.0
4030056,64,2478.0
3833764,36,384.0
3908529,25,336.0
3908529,36,1092.0
3892729,49,1056.0
3976036,25,384.0
3861225,25,276.0
4024036,100,2550.0
3912484,25,1204.0
3818116,25,352.0
3861225,25,384.0
3773250,64,1572.0
3804360,25,1320.0
3862000,49,270.0
3818116,25,280.0
4014012,49,948.0
4000000,36,880.0
3759600,16,1152.0
3912484,49,1128.0
3880900,16,0.0
3806401,36,800.0
3876961,36,299.0
4018020,49,960.0
3859150,25,240.0
3814209,36,293.0
3984016,36,772.0
4011993,64,2013.0
4028049,64,1100.0
3955977,49,1380.0
3744000,25,225.0
3822025,25,350.0
4028049,25,0.0
3850350,49,216.0
4016016,49,760.0
4024036,81,2529.0
4020025,49,880.0
4038090,49,1144.0
3986012,49,2358.0
3837681,36,1078.0
4016016,49,760.0
4020025,49,2502.0
3763500,36,880.0
3751800,25,322.0
3757650,16,240.0
3841600,25,960.0
3855775,25,0.0
3724500,25,960.0
4034072,81,3498.0
3734250,25,2160.0
3953826,16,1152.0
3988009,36,784.0
4024036,81,1150.0
4012009,49,1110.0
3912000,25,252.0
3876961,25,1004.0
4016016,49,960.0
3876961,36,1032.0
3995992,49,1216.0
3976036,49,990.0
3916441,25,800.0
3857296,25,968.0
4026042,64,968.0
3841600,36,960.0
3825936,25,792.0
4020025,81,1112.0
3980025,64,2175.0
4016016,81,2010.0
3843840,16,0.0
3965832,64,1100.0
3705000,9,0.0
4006002,36,1120.0
3888784,25,1002.0
4000000,49,980.0
3736200,36,216.0
3829849,36,1100.0
4012009,49,948.0
3781050,25,800.0
3876880,25,286.0
3844560,25,720.0
3849444,36,880.0
3796650,4,0.0
3952044,36,958.0
3837681,25,1056.0
4000000,81,990.0
3841600,25,1252.0
3988009,36,940.0
3819860,25,0.0
3825936,25,304.0
3845521,25,1144.0
3757650,25,720.0
3796650,25,240.0
3908529,81,2592.0
4016016,64,806.0
3844680,49,1737.0
3990006,36,800.0
3869089,25,288.0
3908529,49,880.0
3889634,25,1440.0
3908529,36,880.0
3972049,64,946.0
3753750,25,0.0
3892729,36,264.0
3742500,25,0.0
4024036,64,1254.0
4024036,100,2274.0
3841208,36,0.0
3806401,16,800.0
4000000,36,862.0
3943620,25,260.0
3904092,25,366.0
4040100,64,2556.0
3765450,36,560.0
4012009,49,1344.0
3924361,36,1152.0
4000000,49,972.0
3734250,16,1144.0
3939864,25,1312.0
4022030,81,2148.0
3829849,36,884.0
3982020,49,1220.0
3886630,25,297.0
4020025,36,776.0
3948169,64,922.0
3857296,36,884.0
3880900,16,1152.0
3906172,25,447.0
3849426,25,1152.0
3952144,49,1238.0
3747900,25,0.0
4014012,49,948.0
3829849,25,308.0
3904576,25,336.0
3755700,49,288.0
3912484,36,880.0
3784950,16,280.0
3936256,25,1012.0
3818116,25,319.0
3744000,36,1152.0
4038090,49,1352.0
3874290,25,312.0
3912484,49,956.0
3778110,49,684.0
4010006,36,786.0
3849444,25,288.0
3974042,49,2949.0
3884841,36,264.0
4014012,16,880.0
3906172,36,1846.0
3900625,25,990.0
3810304,1,974.0
4012009,49,1086.0
4020025,49,906.0
3984000,64,1082.0
4028049,64,2262.0
3865156,49,974.0
4024036,64,1998.0
4022030,81,2010.0
3904576,64,1058.0
3908529,36,1428.0
3904576,49,958.0
3876961,25,3872.0
4022030,64,2262.0
4034072,49,2364.0
3734250,36,1056.0
4028049,49,800.0
4012009,100,2904.0
3880900,16,297.0
4032064,100,2436.0
3992004,49,1800.0
3784950,49,240.0
4028049,49,800.0
3833280,25,1248.0
3740100,36,2592.0
3884805,25,1056.0
4014012,49,840.0
3908529,36,1082.0
3880900,36,960.0
4028049,49,966.0
4034072,49,1058.0
3931889,25,300.0
3873024,25,336.0
4018020,64,860.0
3913760,25,230.0
3796200,16,280.0
3814209,36,1010.0
3779100,25,240.0
4022030,36,1128.0
3845521,25,368.0
3976036,64,1236.0
3871000,36,1128.0
3998000,49,800.0
4014012,25,1152.0
3996001,36,804.0
4024035,81,1968.0
3784950,25,1056.0
3853369,36,1316.0
4032064,81,3156.0
3954132,36,1200.0
3772550,49,1926.0
3940225,49,1056.0
4020025,49,800.0
3823820,25,0.0
3900369,36,1020.0
3873024,36,509.0
3857296,36,1008.0
3761550,49,902.0
3907904,25,1138.0
3810304,25,240.0
4022030,36,920.0
4030056,49,924.0
3749850,36,288.0
3916441,36,1152.0
3948169,49,1008.0
3908000,36,286.0
3829849,16,352.0
3781050,4,256.0
3980025,64,2253.0
3865156,25,1008.0
3777150,16,231.0
4006002,64,1340.0
4022030,49,1004.0
3850900,16,880.0
3818116,25,0.0
4002000,49,862.0
3743000,9,840.0
3798600,36,312.0
3814040,9,0.0
3889700,16,308.0
3873024,25,257.0
3814209,16,286.0
3783000,16,0.0
3968064,36,1058.0
3865156,25,286.0
3857296,16,880.0
4004001,49,1300.0
4020025,49,960.0
4012009,64,2385.0
3936256,25,990.0
4024036,36,858.0
3903900,25,1440.0
3954042,36,870.0
3825936,25,300.0
4008004,36,0.0
4022030,49,860.0
3920400,36,904.0
3888784,25,922.0
3744000,25,990.0
4030056,81,2832.0
3900625,36,880.0
4008004,49,986.0
3968064,49,784.0
3936256,36,1104.0
4032064,81,2340.0
3964081,25,1344.0
4020025,49,924.0
3990006,49,3136.0
3880900,25,2784.0
3825936,16,263.0
3920256,49,974.0
4016016,36,840.0
3900625,49,880.0
3986012,36,862.0
3861784,36,968.0
3892729,16,297.0
3907745,25,295.0
4016016,49,1144.0
3980025,64,954.0
3833764,25,356.0
3784950,49,234.0
3818116,16,312.0
3833764,36,312.0
3900625,25,880.0
3802500,16,294.0
3796650,36,1298.0
3738150,36,792.0
3936256,64,1130.0
4010006,64,2145.0
3884841,36,990.0
3744000,16,280.0
4026042,49,876.0
3849444,25,349.0
3880900,16,286.0
4020025,81,1152.0
4024036,81,2025.0
4028049,81,1404.0
3974042,49,2349.0
3784950,25,1320.0
4016016,49,866.0
4032064,49,1250.0
3936256,25,288.0
3873024,25,1008.0
3744000,36,216.0
3892729,25,1012.0
3904576,36,880.0
3970056,64,1092.0
3873024,25,1372.0
3825730,25,1104.0
3973952,36,954.0
4022030,100,4600.0
3820504,36,882.0
3822420,25,0.0
3996001,49,780.0
3866130,36,162.0
3872975,16,5424.0
4028049,64,2640.0
3944196,64,922.0
3837681,25,286.0
3838308,36,180.0
3884841,36,264.0
3833764,36,264.0
4016016,49,760.0
3970056,36,924.0
3931965,16,364.0
3900625,36,868.0
4026042,64,2685.0
3964081,25,1152.0
3783000,36,1152.0
3893946,16,220.0
3822025,25,305.0
3798600,36,330.0
3853369,36,860.0
4028049,81,2322.0
3795530,9,0.0
3874000,36,1248.0
3908045,25,288.0
3980025,64,2517.0
3884825,25,300.0
4022030,81,2442.0
3744000,9,250.0
3864000,25,281.0
4028049,64,2556.0
3810304,25,1440.0
3849444,25,288.0
3784950,25,240.0
3853369,25,1050.0
4038090,64,2040.0
3857296,36,882.0
3848960,49,240.0
3853369,25,968.0
4000000,49,800.0
3805700,64,288.0
3814209,25,800.0
3837681,25,796.0
3845521,25,902.0
3892729,49,1032.0
3832320,25,288.0
3833764,25,1248.0
3992004,36,920.0
3728400,36,0.0
3818116,36,280.0
3920400,36,1224.0
4020025,49,1152.0
3888784,25,297.0
4024036,49,2622.0
3922224,25,880.0
3904576,36,2664.0
3912484,36,1078.0
3938240,36,960.0
4022030,81,2010.0
3904576,36,1344.0
3675750,16,1120.0
3888784,36,264.0
3783000,36,231.0
3873024,36,824.0
4038090,81,2253.0
3841600,25,922.0
3916441,25,1056.0
3753750,36,300.0
3904576,25,308.0
4000000,36,880.0
4008004,64,2268.0
4000000,36,788.0
3884841,36,0.0
3818116,25,256.0
3744000,16,250.0
3839484,36,0.0
3697200,16,330.0
3904576,36,504.0
3792700,25,924.0
3783000,36,240.0
4030056,81,2304.0
3835260,49,996.0
3932289,25,968.0
4024036,36,880.0
3986012,25,808.0
3745950,36,228.0
3994002,36,880.0
4016016,36,1152.0
4026042,64,2610.0
3777150,25,240.0
3930000,36,299.0
3770580,49,640.0
3806401,25,0.0
3912484,36,968.0
3996001,49,1974.0
3972049,64,924.0
4016016,49,960.0
4008004,64,1154.0
3744000,4,246.0
3904576,25,1008.0
4012009,49,1192.0
3970056,49,840.0
3792750,36,440.0
3822025,16,0.0
3947728,36,1084.0
3816960,49,648.0
4026042,49,866.0
3918310,25,2484.0
3932289,25,264.0
3745950,49,312.0
3951888,49,968.0
3849444,25,0.0
3880900,36,1230.0
4000000,64,1008.0
3992004,49,1665.0
4020025,36,1080.0
3873024,25,326.0
4026042,64,960.0
3912484,36,1008.0
3912484,25,1056.0
4012009,49,992.0
3777150,36,198.0
3783000,25,880.0
3788105,25,0.0
3982020,64,1216.0
3779100,25,240.0
3822025,25,330.0
4028049,49,872.0
3753750,25,210.0
3992004,49,286.0
4032064,36,308.0
3992004,81,2418.0
3976036,36,942.0
3724500,16,1296.0
3893890,36,180.0
4014012,49,904.0
3906246,25,305.0
3927748,36,778.0
3786900,25,215.0
4028049,64,2670.0
3865790,16,231.0
4008004,64,2295.0
4018020,49,960.0
3884841,25,880.0
4012009,36,1084.0
4022030,49,1276.0
4024036,64,1448.0
3974042,36,948.0
3945762,36,888.0
3998000,64,1042.0
3920231,25,308.0
3923685,25,392.0
3829914,36,0.0
3857700,25,1008.0
4014012,81,2622.0
4006002,64,2238.0
3970056,36,778.0
3888784,16,1176.0
3976036,64,1382.0
3773250,36,180.0
3943872,36,1008.0
3706950,25,216.0
3849444,25,336.0
3775200,36,240.0
4032064,81,2502.0
3916441,25,800.0
3932000,36,968.0
3776220,9,320.0
4016016,49,880.0
3814209,16,1152.0
4012009,64,1890.0
3974042,36,760.0
4012009,49,1116.0
3876961,25,1796.0
3861225,25,360.0
4032064,81,2574.0
3846222,49,312.0
4016016,49,2004.0
3998000,49,1154.0
3838450,25,308.0
3904252,16,308.0
3952144,49,2358.0
3974042,49,1148.0
4026042,100,2796.0
3757650,36,316.0
3994002,100,1692.0
3809500,25,1248.0
3794700,16,336.0
3974042,49,1950.0
3781050,36,280.0
3976036,25,440.0
3806401,25,256.0
4020025,81,3255.0
3724500,16,1056.0
3892504,36,338.0
4032064,100,2526.0
3837681,25,0.0
4006002,64,942.0
3884841,36,1050.0
3784950,25,256.0
3853369,25,1008.0
3829849,25,288.0
4022030,49,1156.0
3833764,36,288.0
3992004,49,1092.0
3825730,36,255.0
4024036,49,1264.0
4004001,81,1090.0
3878060,25,0.0
3984000,49,1180.0
3705000,16,684.0
3869089,49,1156.0
3822025,25,336.0
3775200,25,240.0
3753750,25,288.0
3865156,16,384.0
3796650,25,336.0
3761550,36,208.0
4020025,64,968.0
3837681,25,308.0
3884841,16,1920.0
3744000,36,0.0
4020025,36,860.0
3865156,25,408.0
3859704,49,282.0
4016016,36,840.0
3892473,16,304.0
3833764,36,1050.0
3724500,25,0.0
3954132,36,1042.0
3994002,36,1022.0
3865156,36,980.0
3865156,25,1128.0
4016016,49,1064.0
3936240,49,978.0
3761550,16,336.0
3916441,36,972.0
3998000,64,984.0
3814209,25,1298.0
3830750,49,1092.0
3990006,25,964.0
4014012,36,840.0
3873510,36,432.0
3978030,25,1344.0
4000000,64,998.0
3873024,16,0.0
3822025,16,0.0
3724500,4,280.0
4030056,49,968.0
3992004,36,804.0
3829849,36,384.0
3998000,49,924.0
3970056,25,1396.0
3873024,25,288.0
3745950,49,960.0
4034072,64,1034.0
3829849,25,299.0
4026042,49,1138.0
3908529,36,1260.0
3894520,36,1144.0
4032064,64,1500.0
3938184,49,1040.0
3998000,81,1012.0
4020025,64,1108.0
4032064,64,2430.0
3829593,25,1881.0
4002000,49,902.0
4020025,49,898.0
3814209,25,375.0
3927924,25,1152.0
3956021,36,956.0
3865156,49,880.0
3960100,49,1028.0
4010006,49,1064.0
3919824,36,940.0
4024036,49,2841.0
3874860,16,1440.0
3865156,36,884.0
3740100,9,0.0
3972049,36,4068.0
3908529,25,1152.0
4028049,64,1196.0
3910164,25,1248.0
4028049,49,1080.0
3984016,64,1000.0
3755700,36,160.0
4018020,64,2796.0
4022030,81,2028.0
4026042,100,2358.0
4018020,100,2847.0
3798600,16,265.0
4036081,36,1352.0
3986012,49,2448.0
3994002,49,1054.0
3833764,36,976.0
3802500,25,282.0
4018020,49,1356.0
3978030,49,966.0
3912484,49,1100.0
3802500,25,240.0
3900625,49,308.0
3806401,1,270.0
3960100,36,0.0
4036081,81,1434.0
3800550,25,2613.0
3889634,49,862.0
4024036,49,874.0
4008004,49,984.0
3908529,25,1078.0
3805700,16,281.0
3724500,16,1440.0
4020025,64,2187.0
4016016,64,2535.0
4004001,49,1054.0
4012009,49,1256.0
3705000,36,357.0
3896676,25,862.0
3898650,25,836.0
3829826,25,352.0
3751800,36,0.0
3888784,25,1104.0
3884841,25,1152.0
3705000,16,2337.0
3908529,36,358.0
3802500,36,288.0
3837681,25,672.0
3842300,64,228.0
4006002,81,2175.0
3869089,25,336.0
3794700,25,0.0
3978030,64,2271.0
3916441,25,888.0
3837681,25,308.0
3834666,36,225.0
3962090,36,946.0
4028049,49,924.0
3899896,25,230.0
3845521,25,880.0
3976036,25,299.0
3996001,64,960.0
3980025,25,1152.0
3908129,25,319.0
4028049,64,1180.0
3892729,16,297.0
3833764,25,338.0
3714750,9,216.0
3865156,25,960.0
3818090,64,1632.0
4030056,100,3660.0
3775200,16,327.0
4000000,64,2430.0
4022030,81,2385.0
3757650,36,384.0
4020025,36,968.0
3873024,25,940.0
3802810,25,0.0
3843218,25,240.0
3976036,36,944.0
3736200,9,0.0
4030056,64,2490.0
3945942,49,1478.0
3951975,25,880.0
3903615,9,240.0
3896676,36,880.0
3839575,49,164.0
3960100,49,968.0
3763500,16,0.0
4012009,49,876.0
3904576,36,352.0
3846832,49,180.0
3724500,25,200.0
3812360,16,0.0
4028049,64,2454.0
3974042,64,942.0
3753750,16,0.0
3904576,36,956.0
3944196,36,1232.0
3837681,25,270.0
3833764,25,1152.0
3858660,36,240.0
3876961,49,1056.0
3833764,25,294.0
3912484,36,1008.0
3724500,36,228.0
3911700,25,264.0
3978030,64,1424.0
3972049,49,944.0
4024036,36,1144.0
4022030,36,0.0
3847419,36,280.0
3884841,25,280.0
4020025,64,1100.0
4024036,81,2493.0
4008004,64,2571.0
4012009,49,956.0
3904576,49,1170.0
3841600,25,351.0
3986012,36,844.0
3943796,25,271.0
3818116,25,275.0
3994002,49,1082.0
4028049,36,880.0
3744000,25,0.0
3818116,16,996.0
3820800,25,180.0
4024036,64,2478.0
3907800,36,300.0
4020025,36,0.0
4000000,36,940.0
3927795,25,1176.0
3876961,16,800.0
3798600,25,1144.0
3833764,25,968.0
3904576,49,1100.0
3904576,49,1192.0
3908529,25,308.0
3998000,36,870.0
3818116,25,1040.0
4004001,64,980.0
3952143,49,1156.0
3806401,25,960.0
3825936,36,960.0
4028049,81,1114.0
3841600,36,352.0
3849444,25,294.0
4020025,49,820.0
3962090,49,994.0
3896676,49,1100.0
4028049,64,1156.0
3984016,25,1152.0
3857296,36,960.0
3908529,25,1200.0
3811400,25,840.0
4012009,49,800.0
3781050,16,264.0
3941904,25,288.0
3946182,49,1152.0
3988009,36,1368.0
3800550,16,840.0
3763200,25,786.0
3873024,25,1060.0
3841600,25,308.0
3861225,25,1008.0
3855260,36,364.0
4030056,64,2316.0
4024036,81,2697.0
4030056,64,2400.0
3845521,16,270.0
3859704,36,216.0
3800550,16,0.0
3666000,36,205.0
3757650,36,1152.0
3924361,64,1352.0
3953790,36,0.0
4001958,49,946.0
3984016,49,1024.0
3825936,25,267.0
3950156,25,0.0
4024036,64,984.0
3994002,49,1166.0
3798600,16,390.0
3992004,49,854.0
3892729,36,264.0
3761550,9,1320.0
4012009,49,1146.0
4020025,49,1206.0
4028049,100,3522.0
4018020,49,866.0
3976036,25,1056.0
3912484,25,1128.0
3838080,36,1004.0
4000000,36,884.0
4022030,36,1050.0
3753750,16,200.0
4022030,49,2388.0
4032064,49,1980.0
3888784,36,968.0
3912484,36,1152.0
3984016,49,956.0
3837681,25,894.0
3732300,9,0.0
3914252,36,880.0
4000000,36,880.0
3851605,36,240.0
4000000,49,1166.0
3968064,36,1128.0
3903792,36,280.0
3744000,16,338.0
3824000,25,0.0
4012009,64,2523.0
4024036,49,0.0
4026042,81,1680.0
3880371,25,240.0
3861225,25,288.0
3734250,16,1056.0
3905740,25,1056.0
3880900,25,954.0
3736200,49,225.0
4024036,64,968.0
3926036,25,960.0
3784950,25,200.0
3972049,64,2112.0
4024036,49,880.0
3982020,64,1056.0
4024036,81,2100.0
4008004,64,2076.0
3841600,25,336.0
3917770,49,878.0
4032064,81,2610.0
3747900,9,210.0
4026042,64,1056.0
4018020,49,964.0
4022030,49,876.0
4018020,49,990.0
3853369,36,311.0
3869089,36,1070.0
3825936,16,283.0
4024027,49,1240.0
4022030,64,1240.0
3874000,36,672.0
3786900,25,215.0
3853526,25,864.0
3996001,49,1154.0
3825936,25,313.0
3818430,36,0.0
3833764,25,399.0
4000000,49,1082.0
3849444,25,1080.0
4024036,64,2577.0
4016016,49,1140.0
4008004,49,1182.0
3921918,49,1134.0
4032064,64,2178.0
4032064,81,1184.0
3941868,25,288.0
3825260,25,336.0
3850350,25,360.0
3912484,25,1182.0
4016016,49,760.0
3747900,25,100.0
3978028,36,429.0
3906280,36,401.0
3861225,25,288.0
3935727,49,1176.0
3908529,16,0.0
3994002,49,1068.0
4022030,64,1520.0
4024036,49,968.0
3859929,49,1152.0
3792750,36,378.0
4022030,81,1042.0
3828480,16,1352.0
3986012,49,812.0
3908529,49,1010.0
4018020,49,868.0
4032064,64,1352.0
4012009,49,868.0
3775200,16,240.0
3857296,36,1152.0
3705000,25,1120.0
3872240,25,1024.0
4024036,49,880.0
3845521,25,288.0
3972049,49,2034.0
3837681,25,311.0
4024036,64,3159.0
3751800,25,900.0
3822025,16,0.0
4024036,64,1348.0
4018020,81,2316.0
4016016,36,786.0
4026042,64,2364.0
3888784,36,288.0
4024036,49,2604.0
3902390,25,882.0
4012009,36,840.0
3957804,36,264.0
3975892,16,720.0
3863475,49,1344.0
3865075,36,968.0
4026042,64,2568.0
4028049,64,2430.0
4020025,81,1128.0
3912484,36,880.0
3772440,25,912.0
3749850,36,216.0
4016016,49,988.0
4008004,64,836.0
4028049,64,948.0
3802500,36,306.0
3802500,9,800.0
3753750,25,5920.0
3888784,16,1152.0
4000000,64,1944.0
3853369,25,264.0
4012009,36,840.0
3825936,25,286.0
3876961,16,288.0
3884760,25,1012.0
3837681,16,1360.0
4026042,100,2172.0
3976036,64,2532.0
3996001,49,1194.0
3807600,36,800.0
4000000,36,920.0
4030056,49,960.0
4022030,81,2775.0
3993990,36,1228.0
3742050,25,0.0
3734250,9,0.0
3888784,36,1166.0
3897948,25,240.0
3948169,49,1056.0
3983847,64,1224.0
3929754,36,312.0
3962090,49,2103.0
3904576,25,336.0
3719664,64,0.0
3944196,64,1382.0
4024036,49,1278.0
3802500,25,1250.0
3798600,25,250.0
4016016,49,1176.0
3873024,36,924.0
3998000,64,1980.0
3833764,16,0.0
4032064,100,2836.0
3880900,25,1248.0
3900264,36,353.0
4036081,36,1056.0
4026042,36,0.0
3800550,36,940.0
3908529,36,1056.0
3904576,36,920.0
3984016,49,1100.0
3912484,49,964.0
3794700,9,0.0
3940176,36,1044.0
3753750,25,1152.0
3825936,25,319.0
3744000,36,1040.0
3904576,25,336.0
4012009,64,2550.0
4024036,64,2613.0
4016016,36,0.0
4022030,64,2034.0
3814209,36,900.0
3749850,36,880.0
3880900,25,1804.0
4026042,36,864.0
3861225,25,1152.0
4028049,49,1324.0
4022030,100,2634.0
3996001,36,880.0
3942078,36,1248.0
4018020,64,1220.0
4028049,64,1830.0
3900625,25,880.0
3926330,49,1326.0
3869089,36,1100.0
4028049,49,1256.0
3869089,25,668.0
3781050,36,312.0
3873024,25,294.0
4022030,81,2046.0
3908529,36,317.0
3896315,25,303.0
3751800,25,880.0
3857296,36,461.0
4006002,49,1154.0
3960100,64,1500.0
3920400,36,264.0
3994002,64,1366.0
3857296,16,1590.0
3992004,36,810.0
3912475,25,1222.0
3751800,16,288.0
3873024,36,288.0
3829849,25,308.0
3908529,25,968.0
3968064,64,1012.0
3943940,25,368.0
3988009,49,3136.0
3786900,36,213.0
4024036,64,968.0
3779100,25,250.0
3960100,49,1782.0
3857296,36,944.0
3773250,25,260.0
3882408,9,0.0
4028049,49,880.0
