Yr Built or Remod,Overall Qual Sq,Garage Total
4028049,49,960.0
3786700,25,1152.0
3806401,25,288.0
3978030,16,0.0
3861225,36,880.0
4000000,36,926.0
3900225,25,1440.0
3873024,36,882.0
3974042,36,1232.0
3873024,25,304.0
3770756,100,2520.0
4022030,64,990.0
3884841,16,0.0
4018020,49,800.0
3830400,36,216.0
4020025,49,960.0
3996001,49,1012.0
3787870,25,800.0
4016016,49,800.0
4022030,49,874.0
3988009,36,780.0
3861125,25,310.0
3853369,25,1248.0
3880900,25,2736.0
3916441,25,1158.0
3955832,16,1456.0
3835170,36,0.0
3896276,16,1058.0
3861225,25,429.0
3783000,25,256.0
3908088,25,323.0
4012009,64,2454.0
3896676,25,960.0
4028049,64,1950.0
4028049,49,1980.0
4036081,81,3414.0
4012009,49,1062.0
3771300,36,240.0
4020025,49,1064.0
3860325,16,240.0
3890204,16,384.0
3904576,36,1552.0
3974042,36,784.0
3832468,36,1248.0
4003997,36,964.0
4004001,49,868.0
3849444,25,300.0
4016016,64,1080.0
3781050,25,820.0
3822025,16,0.0
3923920,25,254.0
3846000,36,740.0
3753750,36,1152.0
3908000,16,281.0
3779100,36,1056.0
3841600,36,1056.0
4030056,100,2538.0
3913650,25,264.0
3832000,36,880.0
4028049,81,2118.0
3952144,49,1208.0
3818430,36,800.0
4020025,64,2049.0
3751800,25,0.0
3783000,4,308.0
3783000,49,349.0
3814209,36,836.0
4008004,49,1084.0
3775200,25,180.0
3890450,25,1144.0
3825936,36,297.0
3912484,36,880.0
3783000,16,296.0
3800000,16,0.0
4024036,49,2478.0
3849444,25,1248.0
3873024,25,2376.0
3802500,25,195.0
4018020,49,1212.0
3920400,64,968.0
3974042,36,804.0
3924037,49,276.0
3794604,16,288.0
4028049,49,2442.0
3810000,36,1344.0
4024036,49,1068.0
4022030,36,780.0
3827640,25,390.0
4010006,49,800.0
3865156,25,864.0
3952144,64,960.0
3813480,25,1152.0
4006002,100,2412.0
3914082,36,297.0
3912484,49,319.0
3755700,25,352.0
3974042,36,968.0
3952144,49,1056.0
3960100,49,1012.0
3904576,25,1152.0
3800550,9,800.0
4004001,49,1092.0
3933810,36,924.0
3884441,25,270.0
4024036,64,1552.0
3946026,36,968.0
3892729,36,1152.0
4024036,64,2598.0
3952144,49,992.0
3733573,49,1152.0
3876961,36,336.0
4028049,64,1134.0
3900625,36,0.0
4000000,36,880.0
4016016,36,2232.0
3992004,64,2210.0
3786000,100,1760.0
3920400,64,2592.0
3980025,49,2163.0
3951948,36,922.0
3745950,25,205.0
3992004,36,786.0
4014012,64,2640.0
3833764,25,275.0
4022030,49,2346.0
4006002,49,1210.0
3996001,36,880.0
3873024,36,1104.0
4016016,49,1040.0
3880900,16,1320.0
4020025,25,744.0
3979856,25,264.0
3792750,16,240.0
4032064,81,4044.0
3744000,25,338.0
4028049,64,2367.0
4008004,49,1152.0
4016016,25,1152.0
3861225,25,1030.0
4032064,100,2016.0
3936256,36,1032.0
3972049,36,3680.0
3802500,36,1476.0
4012009,49,786.0
3973910,25,264.0
4024036,100,1923.0
3849444,36,296.0
3869089,25,288.0
3841600,49,882.0
3859170,25,908.0
4028049,49,1980.0
3753750,36,384.0
3996001,49,900.0
3868248,25,273.0
4012009,36,1088.0
3800550,36,315.0
3833764,25,902.0
3853369,16,1040.0
3829849,16,2304.0
4024036,36,880.0
3964081,36,992.0
4024035,49,1016.0
4028049,49,2862.0
4032064,81,2655.0
3798600,49,249.0
3837681,25,308.0
3744000,16,308.0
3810304,25,1008.0
3913532,25,240.0
3948169,36,1102.0
3853369,36,364.0
3944196,36,1156.0
3904576,25,1056.0
3901950,36,1152.0
4010006,64,2424.0
3932289,36,968.0
3972049,49,1968.0
4024036,49,968.0
3976036,36,796.0
3772440,25,0.0
4022030,36,880.0
4024036,49,1144.0
3954126,49,1084.0
3869089,25,270.0
4022030,49,1344.0
3869089,49,954.0
3944196,49,312.0
3838710,49,912.0
3810304,25,240.0
4032064,64,2712.0
3900625,36,880.0
3900625,25,998.0
3853369,25,308.0
4002000,49,1078.0
3960100,49,1000.0
3792750,16,220.0
4034072,64,2520.0
3825936,25,308.0
4008004,49,796.0
3857296,36,960.0
3917958,49,990.0
3888784,25,264.0
4014012,81,2874.0
4028049,49,968.0
4032064,81,2508.0
3904576,49,966.0
3960100,64,968.0
4018020,64,1050.0
3932289,49,1196.0
3859929,25,968.0
3823820,25,720.0
3989994,49,998.0
4004001,64,1044.0
4036081,64,1104.0
3794604,36,800.0
4012009,49,868.0
4038090,49,1040.0
4026042,64,1100.0
3904576,64,1330.0
4008004,64,1932.0
3755700,36,180.0
3763500,49,280.0
3734250,9,2808.0
3880900,64,1242.0
3865156,36,864.0
4022030,49,794.0
3865640,49,720.0
3903676,16,308.0
3833764,25,264.0
4022030,64,2676.0
4022030,49,1048.0
3916441,25,1056.0
3978030,64,956.0
3829849,25,331.0
4000000,81,2208.0
3744000,16,570.0
4014012,49,794.0
3980025,36,946.0
3982020,64,2430.0
3904576,36,1102.0
3845521,36,1050.0
4008004,64,1172.0
3825936,25,968.0
3865156,25,360.0
3912123,49,968.0
3904576,25,968.0
4004001,64,1120.0
3998000,64,1120.0
3926070,25,1768.0
3888784,36,264.0
3990006,49,1290.0
4012009,49,956.0
3825936,16,284.0
4012009,49,1220.0
3898230,36,988.0
4026042,49,1944.0
4022030,49,914.0
3833764,36,301.0
3998000,49,1172.0
4022030,64,3129.0
4008004,49,1058.0
4018020,49,872.0
3740100,25,280.0
3853369,36,1056.0
3802500,25,276.0
3818116,36,240.0
4020025,36,1230.0
3757510,4,216.0
3912484,49,5256.0
3880900,36,280.0
3757650,16,880.0
4010006,64,2103.0
3908529,36,880.0
4026042,49,1150.0
4014012,64,1176.0
4028049,64,1224.0
3724500,16,264.0
3734250,25,416.0
3960100,49,1128.0
3934140,64,1076.0
3978030,64,968.0
4012009,49,800.0
3753750,16,210.0
4006002,64,1364.0
3744000,16,0.0
3857296,25,288.0
4012009,64,800.0
3818510,49,216.0
3940225,64,1056.0
4020025,64,1054.0
3759600,25,225.0
3982020,36,862.0
3861930,9,371.0
3776220,49,1408.0
4016016,49,800.0
4028049,64,2604.0
3904576,36,880.0
3938000,25,1008.0
3857296,25,960.0
3978030,64,964.0
3805700,25,0.0
3984016,49,944.0
3794700,16,280.0
3836525,16,1160.0
3992004,64,2655.0
3988009,36,940.0
3814209,25,616.0
3894150,25,363.0
3913812,25,371.0
4022030,64,1926.0
3933720,49,1010.0
3841600,36,996.0
4014012,49,1232.0
3992004,49,1182.0
3784928,25,280.0
3743000,49,1152.0
3837681,36,312.0
4028049,64,2322.0
4016016,64,2748.0
3900625,36,1056.0
3888784,25,980.0
3898378,25,1500.0
3986012,49,1152.0
4020025,36,1050.0
3912484,36,1232.0
3996001,49,1022.0
3912484,64,968.0
3888784,16,253.0
3858330,36,240.0
3928308,36,968.0
3962090,49,924.0
3874180,25,240.0
3900625,25,956.0
4028049,64,2784.0
3729570,25,720.0
3759600,36,2385.0
3837681,16,0.0
3845521,36,1008.0
3783000,25,240.0
4012009,49,968.0
3833764,25,315.0
3845521,25,0.0
3994002,64,2274.0
3992004,49,1196.0
3853692,25,1056.0
3825936,16,288.0
3990006,36,940.0
3747900,1,0.0
3840000,36,1056.0
3875805,9,0.0
4022030,36,920.0
3726450,25,0.0
3869089,16,1032.0
3968064,25,880.0
3798828,25,1152.0
4024036,81,2364.0
3744000,25,1440.0
4016016,49,968.0
3818116,16,800.0
3744000,16,0.0
3765234,16,0.0
3908529,25,1356.0
3822025,9,904.0
3869089,25,880.0
3982020,64,1998.0
3992004,36,984.0
3869089,25,312.0
3794700,36,240.0
3944096,64,1662.0
3771300,25,226.0
3829849,25,1102.0
3845521,25,1568.0
3944115,36,1238.0
3968064,36,800.0
3916441,49,956.0
3920400,25,1344.0
4028049,49,2376.0
3845472,16,1218.0
3957804,25,792.0
4034072,64,2694.0
3873024,25,744.0
3814209,25,312.0
3825730,25,330.0
3829849,36,916.0
3990006,49,1152.0
3990006,49,3136.0
3884841,25,974.0
4014012,49,1166.0
3998000,49,800.0
3940225,64,1128.0
3784950,25,240.0
3865156,25,968.0
3807092,25,180.0
4028049,64,2814.0
3755700,25,0.0
3884841,49,1250.0
4030056,64,2508.0
3850704,25,1132.0
3806401,25,1152.0
4024036,49,1156.0
4026042,49,2133.0
4008004,36,780.0
3869089,25,1012.0
3794700,1,0.0
3747900,16,0.0
4008004,49,938.0
3888784,36,264.0
3869089,25,1152.0
3782400,49,1344.0
4028049,49,1124.0
3873024,36,1078.0
4014012,64,1104.0
4030056,49,1252.0
4012009,49,956.0
3851520,49,0.0
3829120,25,180.0
3874650,36,467.0
3920300,25,1152.0
3749850,36,312.0
3835280,49,1248.0
3944115,36,984.0
3829849,36,308.0
3888784,16,253.0
4020025,36,968.0
4008004,64,862.0
3992004,36,1092.0
3845521,25,0.0
3830750,36,216.0
3938168,16,980.0
3784950,25,200.0
3996001,49,880.0
4028049,25,1122.0
3845521,25,960.0
3905740,25,1152.0
4000000,64,2304.0
3986012,49,1066.0
3951855,25,288.0
3853369,25,1150.0
3920400,36,924.0
3931664,25,0.0
3990006,36,1044.0
3833764,16,872.0
4024036,36,854.0
4020025,49,960.0
4012009,36,840.0
3888784,25,336.0
3908529,25,1062.0
3834240,25,468.0
4018020,49,864.0
4020025,49,968.0
3861225,25,310.0
3837681,25,308.0
4024036,81,1112.0
3936256,36,1176.0
3802500,25,246.0
4022030,49,948.0
3802500,25,788.0
3990006,36,2163.0
3912484,36,880.0
3806630,36,216.0
3792750,36,220.0
3857454,16,240.0
3929964,25,1056.0
3705000,25,352.0
4020025,36,960.0
3796650,36,840.0
3841600,16,312.0
3857296,36,860.0
3786900,25,240.0
3962090,49,1438.0
3869089,25,280.0
3853369,36,264.0
4008004,36,1086.0
3888720,25,1144.0
3924037,25,960.0
4026042,81,2274.0
3763500,25,960.0
4020025,49,1320.0
4026042,64,2724.0
4004001,49,1146.0
3873024,25,288.0
3849444,25,1152.0
3814209,36,305.0
3792750,49,252.0
3900625,25,280.0
3920400,36,924.0
3825936,16,0.0
4026042,49,932.0
3873024,25,300.0
3845521,25,440.0
3922380,49,450.0
3833764,25,350.0
3976036,49,1068.0
3800550,4,308.0
3900625,36,0.0
3936256,25,968.0
3908529,36,1084.0
4018020,64,2073.0
3959739,49,1102.0
3945720,25,1152.0
4024036,64,1944.0
3822025,25,1144.0
4000000,36,880.0
3763500,25,0.0
4016016,49,246.0
3873024,25,336.0
3822025,16,352.0
3908529,25,308.0
4000000,49,1326.0
3880900,16,286.0
3896676,36,968.0
3912484,36,1232.0
4026042,49,2520.0
3853369,25,880.0
3943835,25,294.0
3972049,64,2388.0
3853369,36,294.0
3997970,64,2133.0
4020025,49,2808.0
3880900,16,0.0
3896676,25,0.0
4020025,81,1112.0
4022030,64,2640.0
3982020,16,1256.0
3869089,36,960.0
3980025,64,2256.0
3986012,64,2799.0
3892729,36,264.0
3996001,36,1060.0
3814209,25,1272.0
4012009,49,1162.0
3968064,49,1128.0
4008004,49,3693.0
3959904,25,1056.0
3972049,49,946.0
4024036,49,2070.0
4026042,64,2682.0
3928035,25,1004.0
3880324,25,0.0
3724500,9,0.0
4004001,64,942.0
4000000,49,3280.0
4012009,49,866.0
3783000,36,1440.0
4032064,81,2781.0
3961908,25,308.0
3936247,81,2682.0
3910350,49,972.0
4024036,49,1264.0
4016016,49,1252.0
3806401,16,792.0
3908529,25,1080.0
3913956,25,1792.0
3904576,36,960.0
3853288,36,325.0
3910234,25,288.0
3996001,64,2568.0
3904512,36,1238.0
3984016,64,2361.0
3950156,25,0.0
4028049,49,1080.0
3734250,36,1440.0
3955977,36,960.0
3944196,49,1024.0
3845521,16,261.0
3833764,25,288.0
3783000,25,758.0
4024036,100,2208.0
3849444,25,252.0
3822025,16,0.0
3772800,49,288.0
3780528,25,326.0
3869089,25,1024.0
4024036,49,1132.0
3845521,25,384.0
3876961,25,275.0
4024036,64,1020.0
4010006,49,1020.0
4024036,64,1168.0
3992004,64,840.0
4000000,49,3280.0
4008004,49,806.0
3910324,36,309.0
4008004,64,1054.0
3884841,36,1888.0
3944196,36,1002.0
4012009,36,840.0
4030056,64,964.0
3956121,64,924.0
3783000,25,410.0
3829848,25,384.0
3912484,25,343.0
4000000,49,1064.0
3928099,36,1030.0
3783000,25,240.0
3916441,25,800.0
4022030,64,2532.0
3853369,25,1384.0
3818116,36,904.0
4032064,81,2688.0
3920076,49,882.0
3940225,36,952.0
4024036,64,1100.0
3788310,4,1560.0
3982020,49,804.0
4024036,81,2520.0
3869089,25,288.0
3956121,36,876.0
4028049,64,1188.0
4018020,49,0.0
3814209,16,280.0
4026042,49,1944.0
3835745,36,384.0
3873510,25,216.0
4026042,81,2196.0
3744000,36,207.0
4024036,64,2475.0
3929754,25,312.0
3745950,9,200.0
3876961,49,1012.0
3762975,36,308.0
3833764,36,264.0
4012009,81,2658.0
3969816,25,968.0
3974042,36,880.0
3896676,36,1056.0
4024036,49,1980.0
3968064,36,924.0
3829849,25,292.0
3947728,25,416.0
3831460,25,280.0
3806401,25,1056.0
3992004,36,944.0
3734250,36,216.0
3935727,25,420.0
3900625,25,1152.0
3782800,25,308.0
4014012,49,956.0
3841500,25,308.0
3982020,36,746.0
3781050,36,240.0
3884841,36,1152.0
4001970,25,352.0
3991988,49,926.0
3896676,36,1056.0
4004001,81,1176.0
4038090,81,2460.0
3984016,25,1152.0
3968064,64,1012.0
4018020,64,2556.0
3876120,49,224.0
3865156,25,264.0
3825936,36,1242.0
3849444,49,1056.0
3865156,36,968.0
4016016,36,1040.0
3849444,16,924.0
3885552,49,1152.0
3753750,25,264.0
3825936,16,331.0
4018020,81,2214.0
3802500,9,800.0
3996001,49,1176.0
3832468,36,1344.0
3869650,36,270.0
4004001,64,1062.0
3825936,25,338.0
3974042,81,2877.0
3818116,16,248.0
3755700,25,1152.0
3888735,36,1192.0
3919724,36,1848.0
4020025,36,960.0
3826560,36,180.0
4026042,64,1004.0
4034072,81,2460.0
3849444,36,1152.0
3988009,36,1200.0
4018020,64,2586.0
4014012,64,2196.0
3880900,16,0.0
3894592,36,880.0
3763500,49,200.0
4018020,49,968.0
3841600,25,900.0
3939901,25,900.0
3912484,25,0.0
3844077,25,0.0
3909856,25,280.0
3822025,16,1056.0
4024036,64,944.0
3763500,36,160.0
3908529,25,1134.0
3837681,25,300.0
4030056,64,1456.0
3784950,16,234.0
3980025,64,2433.0
3792750,25,240.0
3900625,36,352.0
4028049,64,2358.0
3792750,25,288.0
3833764,36,1036.0
4028049,64,1968.0
4022030,36,800.0
3853333,36,928.0
3912484,36,880.0
3916441,36,264.0
4036081,81,2592.0
3998000,36,920.0
3818116,25,350.0
3880900,36,968.0
3784950,16,0.0
3970056,64,2664.0
3873024,25,280.0
4022030,49,1152.0
3929754,25,1152.0
4036081,49,968.0
4012009,49,786.0
3864480,25,240.0
3849444,25,264.0
4000000,49,1108.0
4030056,64,1050.0
3876961,36,1152.0
4016016,49,1236.0
3751800,36,280.0
3982020,36,840.0
3908529,25,1496.0
3781050,25,240.0
3984016,25,242.0
3747900,25,0.0
3900625,36,920.0
3771300,36,1056.0
3869089,25,288.0
4032064,64,964.0
3893646,49,252.0
3992004,49,792.0
3873024,25,384.0
4028049,36,880.0
3922108,36,1078.0
4014012,64,2190.0
3765450,49,240.0
4018020,49,1100.0
3822025,25,288.0
3884792,36,1080.0
3962090,36,1084.0
3857296,25,1008.0
4024036,64,2685.0
3892729,36,880.0
3994002,64,2223.0
3802500,25,357.0
4004001,49,1244.0
3847680,25,180.0
3823224,25,288.0
3932289,36,1152.0
3880900,16,926.0
3908529,49,1068.0
4028049,49,776.0
3838158,25,1242.0
3857296,25,0.0
3906172,25,1056.0
3829849,25,968.0
4002000,49,1252.0
4018020,64,1050.0
3880900,16,0.0
3861225,25,1152.0
4008004,49,1088.0
3783000,49,800.0
3998000,64,964.0
3695250,16,185.0
3798600,16,960.0
3912484,64,968.0
4034072,81,3060.0
3811500,36,880.0
3841600,36,1244.0
3909576,25,0.0
4014012,49,2613.0
3849444,36,980.0
4016016,49,956.0
3957928,25,1004.0
3742050,49,288.0
3802500,16,528.0
3996001,49,944.0
4016016,64,2238.0
3950000,36,970.0
3899896,9,308.0
3968064,36,1056.0
4026042,49,1056.0
3956121,36,1012.0
4016016,49,776.0
3812360,25,0.0
4024036,64,2784.0
3954132,49,908.0
3841600,25,312.0
3909750,36,271.0
4032064,81,2622.0
4028049,36,1144.0
4022030,49,1224.0
3861225,25,1098.0
3867489,16,216.0
4018020,49,1012.0
4028049,49,776.0
3848483,25,180.0
3940144,36,1024.0
3964032,49,880.0
4022030,49,2634.0
3920400,36,283.0
4020025,64,2634.0
3996001,49,980.0
3837681,25,288.0
3884841,36,264.0
4024036,81,2082.0
4028049,64,1980.0
3902000,25,1152.0
3920400,36,924.0
4028049,49,1156.0
4032064,64,2328.0
3744000,25,0.0
3744000,25,366.0
3968064,36,1002.0
3706950,25,240.0
3912084,36,297.0
3914156,36,288.0
3859704,36,180.0
3850900,36,423.0
4016016,36,796.0
3970056,64,1034.0
4020025,49,800.0
3818116,16,280.0
4026042,64,1384.0
3900625,49,1152.0
4026042,64,952.0
3904576,25,1144.0
3978030,25,1344.0
4006002,64,2244.0
3802500,9,800.0
3818116,25,252.0
3744000,16,576.0
3846076,25,260.0
3984016,49,1054.0
3967943,49,968.0
3865156,25,264.0
4000000,81,2061.0
3899896,36,240.0
4020025,36,800.0
3825936,25,1152.0
3751800,25,392.0
3996001,49,1030.0
4020025,81,1128.0
3982020,49,800.0
3980025,36,846.0
3814209,9,4164.0
3781050,49,800.0
3984016,25,924.0
3904576,25,1120.0
3988009,36,920.0
4026042,25,860.0
4016016,49,1060.0
4008004,49,870.0
4022030,36,780.0
3908529,36,880.0
4034072,100,3462.0
3880900,49,1060.0
3880900,49,1052.0
3904576,36,880.0
3916441,25,1440.0
3920400,36,288.0
4022030,25,900.0
3798600,25,280.0
3724500,25,0.0
3861225,25,922.0
3865156,25,386.0
4012009,36,1346.0
3850650,36,1672.0
3841600,36,926.0
3978030,36,686.0
3894052,49,820.0
4012009,49,1190.0
3890294,25,253.0
4004001,49,1128.0
3810304,25,308.0
3822025,25,300.0
3904576,36,1056.0
3853369,25,336.0
3992004,64,1184.0
3996001,81,2337.0
4012009,64,1896.0
3802500,36,1800.0
3962090,36,1084.0
3886812,25,1152.0
4020025,36,1248.0
3784950,25,720.0
3802500,25,308.0
3932264,36,1000.0
3767400,36,864.0
3890250,16,872.0
3811400,25,1152.0
3964081,16,864.0
3781050,36,240.0
3825936,36,313.0
3974042,64,1246.0
3924361,36,934.0
3989916,36,1080.0
4030056,25,0.0
3843404,25,1624.0
4018020,81,2310.0
3992004,64,2088.0
4028049,64,2553.0
3857296,16,2550.0
3798600,25,1344.0
4014012,64,2055.0
4008004,64,1068.0
3888460,25,996.0
3814209,25,270.0
3992004,49,1078.0
3763760,49,2610.0
4014012,25,1152.0
4008004,36,880.0
3916000,25,308.0
3869089,25,1056.0
4030056,49,856.0
3744000,16,1056.0
3929706,36,960.0
3956121,49,1138.0
3954132,49,2298.0
4000000,36,780.0
3949884,25,352.0
4024036,64,1974.0
3784950,16,0.0
3956121,64,1196.0
4022030,36,784.0
4018020,64,2568.0
3920400,49,1176.0
4020025,49,1378.0
3957838,16,297.0
3845521,36,736.0
3986012,49,934.0
3853113,16,209.0
4016016,49,968.0
3912484,49,1058.0
4026042,81,3330.0
3801875,25,3024.0
3869089,25,2376.0
3971880,36,880.0
3759600,49,216.0
3869089,25,1034.0
3990006,64,2610.0
3837660,36,1344.0
3922290,25,1152.0
3992004,49,924.0
3781050,25,205.0
3814209,25,240.0
3992004,49,972.0
3992004,64,3207.0
3806630,49,1064.0
4024036,64,2595.0
4018020,49,800.0
4020025,25,1050.0
3888784,16,0.0
3919916,36,1202.0
4018020,64,1272.0
4004001,49,1034.0
3920400,49,968.0
3904576,49,319.0
3957838,36,1084.0
3888663,25,264.0
4016016,64,2268.0
3884841,36,0.0
4026042,25,800.0
3732300,25,180.0
3842910,36,1080.0
3849444,25,308.0
3751800,16,740.0
4008004,49,948.0
3954000,36,1058.0
3800900,36,936.0
3837681,36,300.0
3974042,49,906.0
4030056,64,2598.0
3849444,25,352.0
3996001,36,880.0
3751800,36,398.0
3892729,36,264.0
3880900,16,286.0
3904576,25,1056.0
3884841,16,1152.0
3792750,9,0.0
3837681,36,1056.0
4026042,64,2628.0
3972049,36,1320.0
4020025,36,1248.0
3966072,49,1012.0
3916185,25,300.0
3784950,4,200.0
3990006,36,940.0
4020025,25,800.0
4000000,36,944.0
4020025,49,1144.0
3876961,36,1080.0
4020025,49,968.0
3916441,49,1100.0
4024036,64,2016.0
3838584,49,528.0
3841600,25,0.0
3941904,49,1016.0
4028049,81,2760.0
3705000,16,384.0
3957768,25,1000.0
3908529,36,946.0
3956121,64,1062.0
3988009,36,1152.0
3747900,16,252.0
4024036,64,2346.0
3896676,25,880.0
3861225,36,880.0
3880900,16,0.0
3814209,49,1334.0
4014012,81,2178.0
3747900,16,0.0
3781050,36,217.0
3980025,36,1050.0
4032064,64,2322.0
4028049,64,1040.0
3783000,16,1078.0
3759600,36,684.0
3825936,16,294.0
3996001,49,884.0
